school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
31,145,北京,2022,德语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,146,北京,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,149,北京,2022,西班牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,156,北京,2022,印度尼西亚语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,162364,北京,2022,葡萄牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,5000,,不限
31,129,北京,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,,不限
31,147,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,,不限
31,154,北京,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,,不限
31,159,北京,2022,泰语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,1,4,5000,,不限
31,1532342,北京,2022,马克思主义理论类,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,4,4,5000,,思想政治必选
31,1502858,天津,2022,中国语言文学类,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,2,四年,5000,,不限
31,1151652,天津,2022,经济学类,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,1,四年,5000,,不限
31,1151657,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,1,四年,5000,,不限
31,1151658,天津,2022,社会学类,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,1,四年,5000,,不限
31,1290051,天津,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,1,四年,5000,,不限
31,1290064,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,1,四年,5000,,不限
31,1291196,天津,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502853,天津,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502855,天津,2022,新闻传播学类,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502856,天津,2022,历史学类,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502857,天津,2022,工商管理类,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,1,四年,5000,,不限
31,1926424,天津,2022,人文科学试验班,本科(普通) (1),,,普通类,本科批A段,综合,1,四年,5000,,不限
31,1926425,天津,2022,哲学类,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,1,四年,5000,,不限
31,1926427,天津,2022,公共管理类,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,1,四年,5000,,不限
31,1926430,天津,2022,文科试验班类,本科(普通) (1),,,普通类,本科批A段,综合,1,四年,5300,,不限
31,1291192,天津,2022,生物科学类,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,2,四年,5300,,物理/化学(2选1)
31,1502858,天津,2022,中国语言文学类,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,2,四年,5000,,不限
31,1502863,天津,2022,工科试验班类,本科(普通) (1),,,普通类,本科批A段,综合,2,四年,5000,,物理必选
31,1502866,天津,2022,电子信息类,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,2,四年,5300,,物理必选
31,1502867,天津,2022,计算机类,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,2,四年,5300,,物理必选
31,1926423,天津,2022,地球物理学类,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科批A段,综合,2,四年,5000,,物理必选
31,1926426,天津,2022,物理学类,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,2,四年,5000,,物理必选
31,1151652,天津,2022,经济学类,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,1,四年,5000,,不限
31,1151657,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,1,四年,5000,,不限
31,1151658,天津,2022,社会学类,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,1,四年,5000,,不限
31,1290051,天津,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,1,四年,5000,,不限
31,1290064,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,1,四年,5000,,不限
31,1291196,天津,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502853,天津,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502855,天津,2022,新闻传播学类,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502856,天津,2022,历史学类,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502857,天津,2022,工商管理类,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,1,四年,5000,,不限
31,1502862,天津,2022,天文学,本科(普通) (1),理学 (9),天文学类 (54),普通类,本科批A段,综合,1,四年,5000,,物理必选
31,1502870,天津,2022,心理学类,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,1,四年,5000,,物理必选
31,1502871,天津,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,1,四年,5000,,物理/化学(2选1)
31,1502872,天津,2022,地质学类,本科(普通) (1),理学 (9),地质学类 (59),普通类,本科批A段,综合,1,四年,5000,,物理/化学(2选1)
31,1502873,天津,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,1,四年,5000,,物理/化学(2选1)
31,1926422,天津,2022,理科试验班类,本科(普通) (1),,,普通类,本科批A段,综合,1,四年,5300,,物理必选
31,1926424,天津,2022,人文科学试验班,本科(普通) (1),,,普通类,本科批A段,综合,1,四年,5000,,不限
31,1926425,天津,2022,哲学类,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,1,四年,5000,,不限
31,1926427,天津,2022,公共管理类,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,1,四年,5000,,不限
31,1926428,天津,2022,数学类,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,1,四年,5000,,物理必选
31,1926429,天津,2022,环境科学与工程类,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,1,四年,5000,,物理/化学(2选1)
31,1926430,天津,2022,文科试验班类,本科(普通) (1),,,普通类,本科批A段,综合,1,四年,5300,,不限
31,1291192,天津,2022,生物科学类,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,2,四年,5300,,物理/化学(2选1)
31,1502871,天津,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,1,四年,5000,,物理/化学(2选1)
31,1502872,天津,2022,地质学类,本科(普通) (1),理学 (9),地质学类 (59),普通类,本科批A段,综合,1,四年,5000,,物理/化学(2选1)
31,1502873,天津,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,1,四年,5000,,物理/化学(2选1)
31,1926429,天津,2022,环境科学与工程类,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,1,四年,5000,,物理/化学(2选1)
31,1502863,天津,2022,工科试验班类,本科(普通) (1),,,普通类,本科批A段,综合,2,四年,5000,,物理必选
31,1502866,天津,2022,电子信息类,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,2,四年,5300,,物理必选
31,1502867,天津,2022,计算机类,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,2,四年,5300,,物理必选
31,1926423,天津,2022,地球物理学类,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科批A段,综合,2,四年,5000,,物理必选
31,1926426,天津,2022,物理学类,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,2,四年,5000,,物理必选
31,1502862,天津,2022,天文学,本科(普通) (1),理学 (9),天文学类 (54),普通类,本科批A段,综合,1,四年,5000,,物理必选
31,1502870,天津,2022,心理学类,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,1,四年,5000,,物理必选
31,1926422,天津,2022,理科试验班类,本科(普通) (1),,,普通类,本科批A段,综合,1,四年,5300,,物理必选
31,1926428,天津,2022,数学类,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,1,四年,5000,,物理必选
